date,query,user,label,tweet
"Oct 14, 2023 · 9:46 PM UTC",#standwithpalestine,@HammadRu,2,"Standing with Gaza you don't have to Muslim, you don't have to Arabian you only have to be #""human""  #StandWithGaza.. #StandWithPalestine #PrayForPalestine"
"Oct 23, 2023 · 11:52 PM UTC",#israelunderattack,@Truthpolex,1,🚨 BREAKING - UPDATE - Deathtoll of Palastinian Civilians has been risen to 5087 since the 7th of October  #Israel #Palestine #War #Hamas #IsraelUnderAttack #PalestineUnderattack #Gaza #GazaGenocides #IsraelGenocide #GazaUnderSiege
"Oct 11, 2023 · 11:53 PM UTC",#palestine,@dee4peace,1,"Live 8pm ET: We will discuss; #Netanyahu Gov. Gambles With #Israeli #Lives, #Lebanon, #ArabLeague, #Ursula Shut-up & More!  #Arab #Palestine #Gaza #Muslim #Christian #Arabs #GazaUnderAttack #AlAqsaFlood #GazaUnderaAttack #FreeGaza #FreePalestine #USA #News https://invidious.io.lol/live/cVO_IO95VJc?si=PNZvqZwPS01R2cSl"
"Oct 8, 2023 · 11:55 PM UTC",#palestine,@xdailyfacts,2,Part of a rocket launched by Hamas at Ashkelon got stuck in the ceiling of a local resident.  #Israel #hamasattack #GazaUnderAttack #IsraelUnderAttack #Palestine #Gaza #Israel_under_attack #IsraelPalestineWar #hamassoldiers #hamas
"Oct 19, 2023 · 11:24 PM UTC",#standwithisrael,@innarz,0,"In the face of adversity, the people of Israel showcase incredible unity and strength. Neighbors become family, and strangers become friends, all standing as one. #StandWithIsrael #HamasisISIS #standwithIsrael #bringthemhome #wordsofiron"
"Oct 19, 2023 · 11:56 PM UTC",#hamas,@shajirishi,0,Where were you when #Hamas #Terrorists attacked #Israel ?   Non violence is the only path to get rights. Stop supporting terrorists
"Oct 13, 2023 · 11:01 PM UTC",#standwithisrael,@KevinEFitzM,0,"#StandwithIsrael “The ultimate hypocrisy is peace groups supporting the Palestinians, the ultimate anti-peace group.” —Kevin Everett FitzMaurice https://piped.video/watch?v=OjOgKHw6HY4"
"Oct 12, 2023 · 11:58 PM UTC",#freepalestine,@samosagak,2,"I’m sorry for the grief felt by Jews & Palestinians. But every drop of blood spilled, every rocket launched, no matter whose either is, is Israel’s bed of their own genocidal crimes, & their travesty of a state.   Down with the far-right, down with the occupation. #FreePalestine"
"Oct 8, 2023 · 11:57 PM UTC",#standwithisrael,@samipullain,0,#StandWithIsrael
"Oct 8, 2023 · 11:53 PM UTC",#israelunderattack,@IsraelJoffe,0,#JewishLivesMatter #hamasattack #Nevergiveup #Israel #joffe #IsraelUnderAttack
"Oct 16, 2023 · 11:51 PM UTC",#hamasterrorists,@CliveNachas,1,"Why is it that when someone has something intelligent to say about religion their bio begins with Atheist - I'll leave it for you to ponder 🤯 Unlike your mate Hijab that says life begins at death, we sane people don't - it's sacred. #HamasTerrorists release the #199hostages"
"Oct 11, 2023 · 11:40 PM UTC",#israelpalestinewar,@Fatma__kM,0,#GazaUnderAttack #palastine #IsraelPalestinewar #Gaza #IsraelPalestineConflict #IsraelAttack #IsraelTerrorists #FreeGaza
"Oct 25, 2023 · 11:56 PM UTC",#hamas,@EzzeldinAli0,2,"Continuous sadism and brutality practiced by the army and state of Israel, and the media does not mention any of it. When will all this stop? #Gaza_Genocide #Gazabombing #CeaseFireInGaza #raceacrosstheworld #Hamas #Gaza #LUFC #كتائب_القسام #الحرب_العالمية_الثالثة"
"Oct 19, 2023 · 11:55 PM UTC",#freepalestine,@arwaade05021279,2,#FreePalestine #IsraelTerorrist #ISTANDWITHPALESTINE
"Oct 24, 2023 · 11:28 PM UTC",#standwithisrael,@darrenash13,0,#BidenWars #StandWithIsrael
"Oct 16, 2023 · 10:52 PM UTC",#israelunderattack,@yodam555,0,"Hamas = ISIS  This is the biggest terror attack in history.  If you don't condemn these monstrous terror attacks, then you have a real problem.  #HamasTerrorist #IsraelUnderAttack"
"Oct 10, 2023 · 11:53 PM UTC",#israelpalestinewar,@blvckT,1,Irish MP Speaks on the Reality of Isreal & Palestine history #PalestineUnderAttack #Gaza_under_attack #IsraelPalestineWar
"Oct 22, 2023 · 11:19 PM UTC",#standwithisrael,@ChrisLanzberg,0,"#NaftaliBennett is an #Israeli politician who served as the 13th #PrimeMinister of #Israel  ""The #BBC is lacking moral clarity. What you guys did last week, shame on you""  The interview is in English.  #StandWithIsrael"
"Oct 12, 2023 · 11:20 PM UTC",#hamasterrorists,@CybertroniaOne,1,America this is exactly what we need to do. We are in full control there is law there is order and there is us! We're not going to put up with these protests going on in our country and another countries. Be vigilant.   #HamasTerrorists #IsraelHamasConflict
"Oct 8, 2023 · 11:06 PM UTC",#standwithpalestine,@Rohaanali6492,2,Imran khan stand with PALESTINE  #FreePalastine #standwithPalestine
"Oct 23, 2023 · 11:58 PM UTC",#israel,@NoMoreApartheid,0,"The elderly prisioner/""hostage"" stops to shake hands with #Hamas fighter & say ""Shalom"" to him before leaving with Red Cross personnel. She says it was IDF soldiers who shot at Israelis 'killing their own'. Both sets of released prisoners destroying the narrative of #Israel"
"Oct 18, 2023 · 11:00 PM UTC",#standwithisrael,@jesss_88,0,Perfeito!  #StandWithIsrael #standwithus
"Oct 18, 2023 · 11:19 PM UTC",#israelpalestinewar,@FarheenShahmir,2,The rain of Israeli bombs on the defenseless children of Gaza   #GazaUnderAttack #Gaza #IsraelPalestineWar #PalestineUnderAttack #Palestine #FreePalestine #Israel #IsraelPalestineConflict
"Oct 18, 2023 · 11:57 PM UTC",#freepalestine,@amebron3,0,@netanyahu you’re a war criminal. The American people are no longer going to stand for the USA’s funding of your genocide. #freepalestine
"Oct 14, 2023 · 1:47 PM UTC",#indiastandswithpalestine,@yousaf_mirza1,2,"Support of  West was always unwavering and absolute for Israel, Arab voice for Palestine was always soft and diplomatic  to the point that Arab states had started normalisation with Israel under Abraham Accords since 2020 #PalestineLivesMatter #Isarael #IndiaStandsWithPalestine"
"Oct 25, 2023 · 11:54 PM UTC",#freepalestine,@CorazonBayames,2,#FreePalestine
"Oct 21, 2023 · 6:33 PM UTC",#indiastandswithisrael,@gauravprakashg,0,🇮🇳🤝🇮🇱 #IsraelAttack #IStandWithIsrael #IndiaStandsWithIsrael #is
"Oct 14, 2023 · 5:42 PM UTC",#stophamas,@danieldez,0,@tomgara your whole feed for the past week looks like it was curated by Hamas. And you are working with  @meta @buzzfeednews @wsj @ft?  Organizations charged with balanced news reporting /stoping disinformation? Shameful.  #stophamas stop apologizing for #PalestinianTerrorists
"Oct 20, 2023 · 9:53 PM UTC",#isupportpalestine,@oye_monayyy,2,Whoever is in london. Please go and join this march in support of Palestinians who are being butchered every minute. Do whatever is in your hands.  #ISupportPalestine #IsraelTerorrist #israelnewnazism #PalestinianGenocide #Gaza_Genocide #London #London_March
"Oct 12, 2023 · 11:55 PM UTC",#israel,@goroe,1,"What to know as #conflict erupts between #Hamas and #Israel after deadly attack, retaliation #terrorattacks https://www.pbs.org/newshour/world/what-to-know-as-conflict-erupts-between-israel-and-hamas-after-deadly-attack-retaliation"
"Oct 20, 2023 · 11:11 PM UTC",#standwithisrael,@paltystein,0,"Are you still wondering why I stand with Israel? Well, 1 of the reasons is  Because you'll never see freaks #StandWithIsrael do this."
"Oct 15, 2023 · 10:22 PM UTC",#hamasterrorists,@SphereByMilan,0,"OR #Qatar could stop collaborating, financing  & harboring known #HamasTerrorists and make them return the hostages otherwise, hand those corrupt crooks acting as their leaders living the high life there   over to #Mossad & #IDF"
"Oct 17, 2023 · 10:57 PM UTC",#standwithpalestine,@UbaidHassni530,0,#StandWithPalestine #StandWithGaza  May Allah erase Israel from the map of the world Ameen
"Oct 17, 2023 · 11:32 PM UTC",#israelunderattack,@pearllieR,0,#IsraelGazaWar #IsrealPalestineconflict #IsraeliNewNazism #Israel #IsraelPalestineWar #Israelunderattack #GazaAttack #Gazagenocide #Gaza_under_attack #gaza
"Oct 15, 2023 · 7:31 PM UTC",#indiastandswithisrael,@Bobin1007,0,🇮🇱🇮🇳 #IndiaStandsWithIsrael #IndiaStandWithIsrael 🇮🇱🇮🇳
"Oct 7, 2023 · 11:59 PM UTC",#standwithisrael,@Iromg,0,The comments on this tweet would suggest @UKLabour still has a massive anti-semitism problem.   #StandWithIsrael
"Oct 14, 2023 · 11:52 PM UTC",#indiastandswithisrael,@shekharce001,0,This Win for our brother & sisters in @Israel @IsraelinIndia @NaorGilon 🇮🇱  Reaction for @iMRizwanPak @_FaridKhan @iramizraja @SAfridiOfficial @waqyounis99 @shoaib100mph @iNaseemShah @76Shadabkhan @HarisRauf14 @iShaheenAfridi #IndiaStandsWithIsrael 🇮🇳🇮🇱 #INDvPAK #TeamIndia
"Oct 23, 2023 · 11:29 PM UTC",#isupportisrael,@Shayedaway72,0,Jewish people please remember this when it’s time to vote. #ISupportIsrael
"Oct 22, 2023 · 11:58 PM UTC",#palestine,@yoonma_min,2,#Palestine #FreePalestine
"Oct 15, 2023 · 11:24 PM UTC",#israelunderattack,@Farah_isnear,2,The Israeli Zionists are high-level terrorists #FreePalestine #PalestineGenocide #IsrealPalestineconflict #IsraelUnderAttack ??!!
"Oct 22, 2023 · 11:59 PM UTC",#freepalestine,@Pry32387763,2,#FreePalestine
"Oct 8, 2023 · 6:18 PM UTC",#isupportpalestine,@MOHAMMADMANJO10,2,#ISupportPalestine free for palestine
"Oct 26, 2023 · 11:55 PM UTC",#hamas,@hassanna5060,0,"This is horrible. Hamas didn’t build shelters for the people, didn’t allow the children into their tunnels, at a minimum they could have allowed the family of their #AlJazeera reporter into their tunnels.   The ppl of #gaza will continue to die until #Israel rids #hamas."
"Oct 17, 2023 · 10:00 PM UTC",#hamasattack,@YMoryosef,0,"#hamasattack #GazzeUnderAttack #Hamas   The truth now from security cameras in Moshav Nativ Hezara: missiles of the Islamic Jihad and immediately after the explosion in the hospital. Fools, you hurt yourselves."
"Oct 24, 2023 · 6:39 PM UTC",#standwithisrael,@jconricus,0,There's fuel in Gaza to run hospitals and pump water. But Hamas prefers to use the fuel to continue fighting Israel. All those who claim otherwise are whitewashing Hamas crimes against their own.
"Oct 22, 2023 · 6:47 PM UTC",#indiastandswithpalestine,@Robinhoodp_007,2,#IndiaWithPalestine #IndiaStandsWithPalestine #StopGazaGenocide #StopPalestineGenocide #StopGenocideInGaza #StopGenocideInPalestine
"Oct 18, 2023 · 11:59 PM UTC",#freepalestine,@Miramellah2,0,#FreePalestine #GazaHospital #Natenyahu #gaza @algeria @palestine
"Oct 9, 2023 · 11:30 PM UTC",#israelunderattack,@MilitaryPOV,2,"#BREAKING Confrontations continue between young men and the Israeli forces at the Qalandia camp checkpoint, north of Jerusalem. #Israel #hamasattack #GazaUnderAttack #IsraelUnderAttack #Palestine #Gaza #Israel_under_attack #IsraelPalestineWar #Hamas"
"Oct 10, 2023 · 10:37 PM UTC",#indiastandswithisrael,@deven_sailor,2,"For a change, I wish there were a god, and he was just. For a change….  #HamasTerrorism #40babies #IndiaStandsWithIsrael  May these terrorists die the most painful of deaths and their screams reverberate through the universe for eternity."
"Oct 11, 2023 · 5:59 PM UTC",#isupportpalestine,@zeeshaaanali,1,#Israel is a terrorist country who killed innocent  #FreeGaza #ISupportPalestine
"Oct 7, 2023 · 10:24 PM UTC",#standwithpalestine,@zeesha51278,2,You know what you just far behind from the truth and you should know 50years history of Palestine what israel did there.!.!!  If you don’t then go and drink Cow pee becuse you don’t have any right’s to talk about this metter..!!  #standwithPalestine #gaza #Hamas
"Oct 15, 2023 · 9:19 PM UTC",#isupportpalestine,@NinjaVlogz,1,Kon Nawaz Sharif ma'am???? We know the only Leader is Imran Khan baat khatam. #ImranKhan #ISupportPalestine #ISupportGaza #PTI_pakistan_ik
"Oct 16, 2023 · 9:39 PM UTC",#stophamas,@stinchfield1776,2,The reality of what happened in Israel is being ignored by the left. Iran conspired with H@ma$ to kill Jews. Here is the proof of the horror. Wait til the end. It’s worth it…. #ProtectIsrael #StopHamas
"Oct 8, 2023 · 11:29 PM UTC",#standwithpalestine,@JFK_ALlivestill,0,🌟🇵🇸✊👏👏👏#World4Palestine #StandWithPalestine @catcontentonly …/…Hey Eric @NYCMayor 👇👇
"Oct 8, 2023 · 11:48 PM UTC",#indiastandswithisrael,@AnilRameshValmi,1,We always stand with Israel. 🇮🇱🇮🇳  #IndiaStandsWithIsrael
"Oct 11, 2023 · 11:52 PM UTC",#freepalestine,@wearedissenters,2,📍CHICAGO  From the river to the sea✊🏾🌊 #FreePalestine
"Oct 20, 2023 · 12:57 PM UTC",#stopisrael,@JKayala07,0,🇦🇪🥀 #Filistin #teroristisrail #StopIsrael
"Oct 17, 2023 · 11:32 PM UTC",#hamasattack,@saleemegypt,1,"Do not fear death my dear child..  For what lies with God is far better than what is in this life... With God, your home will never be destroyed, your brother will never be killed, and no one will betray you or make you afraid...  #ısrael #hamasattack"
"Oct 11, 2023 · 2:43 AM UTC",#stophamas,@IDF,2,"Listen in as an IDF Spokesperson LTC (res.) Jonathan Conricus provides a situational update on all fronts, as the war against Hamas continues. https://nitter.net/i/broadcasts/1mnxepLawlLJX"
"Oct 7, 2023 · 11:58 PM UTC",#israel,@in_your_eyes_78,1,"Islamischer Antisemitismus wird in Deutschland konsequent ignoriert. Sie werden keine Demonstrationen von den üblichen Gruppen (#SPD,#Gruenen & #linke) sehen, die ansonsten recht fix beim ""Kampf gegen Rechts"" auf der Straße stehen und sich selbst abfeiern. #stille #Israel #Hamas"
"Oct 21, 2023 · 9:52 PM UTC",#israelunderattack,@YHenryG,0,#Wordle854 5/6* @NYTGames  ⬛⬛🟩🟨⬛ ♻️ > 📜 🤔 🧭 ⚙️ 🎲¾ 🟩⬛🟩⬛⬛ 🤞 > 🤔 L2 〽️ +2V 🟩⬛🟩⬛⬛ 🫣 > 😞 🤔 ⚙️ 🎲3⃣ 🟩🟨🟩🟩⬛ 🫣 > 😲 🙈 🤔 🧭 🟩🟩🟩🟩🟩 GREAT  #UkraineWar🇺🇦 #CovidVaccine #Jan6th #CodifyRoe #IsraelUnderAttack 🇮🇱#UvaldeMassacre 🟠
"Oct 11, 2023 · 7:01 AM UTC",#hamasattack,@Eusebius64,1,"“#Netanyahu and his messianic cohorts must go.”  October 10, 2023—https://www.ynetnews.com/article/bkyaoez116"
"Oct 8, 2023 · 11:59 PM UTC",#israel,@iluminados_3,0,🚨| #URGENTE ISRAEL CONTRA ATACA‼️  📢 ¡Israel bombardeo y destruyó la mezquita de Al Anon! OREMOS POR LA PAZ. #Israel #Israel_under_attack #Palestine
"Oct 20, 2023 · 10:37 PM UTC",#hamasterrorists,@IvanSemenovych,1,.@OwenJones84 #Palestinians in the terrorist city of Hebron raise photos of Putler and Kim Jong Un. #Israel #Gaza #Hamas #terrorists #GazaTerrorists #HamasTerrorists #PalestinianTerrorists
"Oct 9, 2023 · 6:40 PM UTC",#isupportisrael,@natrabling,0,El primonde mi mejor amiga esta secuestrado por HAMAS en gaza porfavor recen por el   #IStandWithIsrael #Israel #Gaza #ISupportIsrael
"Oct 18, 2023 · 11:38 PM UTC",#standwithisrael,@baldwin_locke,0,#StandWithIsrael  🇮🇱
"Oct 20, 2023 · 11:56 PM UTC",#israel,@Rehana_o03,2,"Long Live Ireland!    If there is a single European country trying to shame the rest of Europe to turn to moral values rather than neo-colonialist values imposed on it from outside, that country is Ireland.  #Netanyahu_A_criminal_of_war #Israel"
"Oct 11, 2023 · 3:12 PM UTC",#stophamas,@amit7itz,0,Hamas = ISIS. #HamasMassacre #HamasisISIS #StopHamas #FreePalestineFromHamas
"Oct 24, 2023 · 11:57 PM UTC",#israel,@omn1awaleed,0,#Bitcoin #Israel_under_attack #IsraelFightsTerror #Israel
"Oct 22, 2023 · 11:57 PM UTC",#israel,@TraceyLeeHolmes,1,"The @abcnews Global Affairs Editor @TheLyonsDen latest from the #Israel #Gaza war... ""Gaza is the most miserable place on Earth and in Israel, fear is everywhere. This tragedy cannot go on"" https://www.abc.net.au/news/2023-10-23/gaza-most-miserable-place-israel-fear-tragedy-cannot-go-on/103002648?utm_campaign=newsweb-article-new-share-null&utm_content=twitter&utm_medium=content_shared&utm_source=abc_news_web via @ABCaustralia"
"Oct 22, 2023 · 11:56 PM UTC",#israel,@Dreamss13,1,"STOP THE GENOCIDE !!,  #israel #IsraelAttack #Palestine"
"Oct 14, 2023 · 11:00 PM UTC",#israelunderattack,@IsraelWarRoom,2,Aleppo International Airport in Syria has been hit again by airstrikes.  -TV channel Al Mayadeen.  ✈️👀
"Oct 7, 2023 · 11:59 PM UTC",#hamas,@pepeBONGO_,0,#Gaza #Hamas
"Oct 13, 2023 · 11:03 PM UTC",#israelunderattack,@OrateProInvicem,1,Do you condone this @RepJeffries @BarackObama Muslims finest. @AOC any comments would be appreciated since you are the fact checker extraordinaire! Ha! #DemocratsAreDividingAmerica #Israel #IsraelUnderAttack 🇮🇱#TheSquad
"Oct 13, 2023 · 11:59 PM UTC",#israel,@Eder10teixeira,0,"Mole de resolver a guerra, 10mi de Israelenses, coloca eles na divisa da Bahia, Maranhão, Tocantins,Goiás e Piauí, com a inteligência deles essa área do Brasil se tornará primeiro mundo. Brasil para a guerra e ganha uma nova cultura. #gaza #Israel #GuerraIsrael  🇮🇱"
"Oct 10, 2023 · 11:57 PM UTC",#israel,@noobadoob1776,2,While everyone is focused on #Israel and #HamasTerrorism here comes the real war that every global citizen is facing.
"Oct 19, 2023 · 8:18 PM UTC",#stopisrael,@maddadameah,2,How is it possible that in this era of social media there are still those who are still blinded by what's happening in Palestine? I don't get it. I really don't! #EndTheWar #StopIsrael
"Oct 11, 2023 · 11:54 PM UTC",#freepalestine,@bubbly_jainie,1,Palestine is all what matters 🇵🇸🤍  #FreeGaza #طوفان_الاقصى_ #FreePalestine
"Oct 24, 2023 · 6:38 PM UTC",#isupportisrael,@dhavalmshah,0,#ISupportIsrael
"Oct 9, 2023 · 9:21 PM UTC",#isupportisrael,@IBAConservative,1,#ISupportIsrael #CanadiansSupportIsrael #PalestinianTerrorists #HamasBarbarians #FlattenGaza #PalestinianTerrorism is a🌎 plague funded by #RadicalIslam  tolerated far too long! Yes there’s going to be mass loss of life of any terrorists remaining in #IsraelTakeGaza 😢me a river!
"Oct 8, 2023 · 11:49 PM UTC",#hamasattack,@Ben09783952,0,Burn Gaza and Palestine to the ground #hamasattack #Israel #IsraelPalestineWar #FreePalastine
"Oct 15, 2023 · 10:12 PM UTC",#standwithpalestine,@Free_Palestin00,1,Muslims are not terrorist IN SHA ALLAH we will fight #StandWithPalestine
"Oct 12, 2023 · 11:57 PM UTC",#freepalestine,@AHayattun,0,#FreePalestine #palastine https://vt.tiktok.com/ZSN2S95qw/
"Oct 14, 2023 · 11:06 PM UTC",#hamas,@djrothkopf,1,It doesn't get any more blatant than this. Watch this space. The current conflict will not remain contained within Israel and Gaza. The question is how much spillover there is...
"Oct 20, 2023 · 9:44 PM UTC",#standwithpalestine,@iqraaziz_7,0,YES!! WE CAN DO IT GUYZ 🙌 never step backward 🤜  #FreePalestineFromIsrael #PalestineWar #McDonalds #banned #StandWithPalestine
"Oct 14, 2023 · 7:01 PM UTC",#indiastandswithisrael,@shekharce001,0,@iMRizwanPak   आया मजा 😂This loss for whom ? 🙏 @babarazam258 @_FaridKhan @TheRealPCB @babarazam258 @HarisRauf14 @iNaseemShah @76Shadabkhan @SAfridiOfficial @iShaheenAfridi @TheRealPCBMedia @shoaib100mph @Qamarcheema @GovtofPakistan #IndiaStandsWithIsrael 🇮🇳🇮🇱 @IsraelinIndia
"Oct 10, 2023 · 10:18 PM UTC",#hamasattack,@jhind19,1,Wake up  check out #طوفان_الأقصى #Israel #GazaUnderAttack #INDvsAUS #hamasattack #hamasattack #HamasTerrorists #FreePalastine #IsraelUnderAttack #FreePalestine #Palestine   Check out ImiKGB786's video! #TikTok https://vm.tiktok.com/ZGJ3fo6Yh/
"Oct 26, 2023 · 10:54 PM UTC",#israelpalestinewar,@madayekh,1,"#Macron :""Cette bataille doit être sans pitié"".  la communauté mondiale transmet à Macron : ceux qui rationalisent le meurtre de civils innocents et l’occupation israélienne de la terre #palestinienne commettent des crimes.  Mettez fin au génocide à #Gaza.  #IsraëlPalestineWar"
"Oct 8, 2023 · 11:59 PM UTC",#hamasterrorists,@ColdCreamnRose1,2,"Israel tries to avoid attacks on Palestinian civilians. #HamasTerrorists deliberately and willfully abduct, torture, rape, and kill Israeli civilians. So much for your ""morality"" #sarcasm"
"Oct 7, 2023 · 11:38 PM UTC",#standwithpalestine,@AnarchySystem42,1,She isn't a civilian. She is a proud member of the occupying force that is engaging in genocide against Palestinians. Fuck her #FreePalestine #standwithPalestine
"Oct 12, 2023 · 11:50 PM UTC",#standwithpalestine,@MennaAy28079192,2,"und die Medien manipuliert damit die Welt denkt, dass sie diejenigen sind, die ausgerottet und getötet werden. #FreeGaza #GazaUnderAttack #غزة_تُباد #StandWithPalestine"
"Oct 20, 2023 · 10:25 PM UTC",#hamasterrorists,@NakedPueblo63,1,#Palestinians in the terrorist city of Hebron raise photos of Putler and Kim Jong Un. #Israel #Gaza #Hamas #terrorists #GazaTerrorists #HamasTerrorists #PalestinianTerrorists
"Oct 15, 2023 · 11:55 PM UTC",#hamas,@israelwarlive,2,"My great grandma Lily Ebert, a 99 year old Auschwitz survivor 💔  Today, a week after Hamas inflicted unimaginable terror, her pain is unfathomable.  We mustn’t let the haunting shadows of history persist. -@DovForman   It's the Sword of Iron ⚔️  #HamasTerrorist #Isarael #Hamas"
"Oct 8, 2023 · 6:22 PM UTC",#indiastandswithpalestine,@Luit51072619,2,"zionist are testing their own medicine , they are running to their own countries from where they came to palestine  #IndiaStandsWithPalestine"
"Oct 7, 2023 · 10:53 PM UTC",#israelpalestinewar,@BishopPOEvang,1,The moment the Israel entity's helicopter was shot down💥🛩️  Hamas / Hezbollah / Gaza /Palestine  #IsraelUnderAttack ॥#Gaza #Hamas॥ #Israel_under_attack #Israel #طوفان_الأقصى #IsraelPalestineWar
"Oct 12, 2023 · 11:59 PM UTC",#israel,@mctee_david,0,#SENIOR #Hamas says they planned the attack for 2 years through #Iran on #Israel ! #Gaza #Hazebullah Iran is the mastermind behind #Israelis killing ! #ایران #حماس #حزب_الله #غزه #فلسطین #palastine
"Oct 20, 2023 · 12:04 PM UTC",#stophamas,@S_MCI1,0,Hamas shouldn't have started this. #StopHamas
"Oct 24, 2023 · 11:57 PM UTC",#freepalestine,@bmoreR4J,1,Until they’re free - all out for Palestine! Keep showing up and speaking out! March and rally this Friday Oct 27 at 6 PM at Baltimore City Hall. Please mask up! #FreePalestine #StopGenocide @baltbeat @LisaESnowden @shortman_9 @expandyourfocus
"Oct 19, 2023 · 8:02 PM UTC",#stophamas,@georgegboy,0,#NotInOurName #IfNotNow #StopHamas #StopGazaGenocide #StopTheGenocideByLikud
"Oct 13, 2023 · 1:28 PM UTC",#israel,@Channel4News,2,"“You can’t cure killed babies with more dead babies. We need peace.”  The son of a missing Israeli peace activist says that his mother would be mortified by the situation in Gaza, and that vengeance is not a strategy."
"Oct 23, 2023 · 8:48 PM UTC",#hamasattack,@__codeartisan,1,"Chicago: Nazi bloodthirsty terrorists terrorist-supporters attack a Jew who tried to film them while they chanted incitement against Israel and the Jews, they praised the #NaziHamas terrorists.  #HamasMassacre #HamasTerrorists #Hamas #hamasattack #HamasislSIS #HamasISIS #Gaza"
"Oct 12, 2023 · 7:34 PM UTC",#isupportisrael,@ReeveSwainston,1,"True - Smart doesn’t equal good. But his strange, unnecessary statements about the @IsraeliPM in a time when support for @Israel is so essential is baffling. I don’t get how @RonDeSantis isn’t dominating. @DeSantisWarRoom @JoshPower80 what’s going on? #ISupportIsrael #ısrael"
"Oct 18, 2023 · 11:49 PM UTC",#palestine,@sammywise_wit,2,"The bodies of Erick Peretz and his daughter Ruth who has cerebral palsy, were found today. #Israel #Palestine #Hamas #Gaza #Iran #Attack #IsraelPalestineWar #IsraelUnderAttack #BAAT #ShaniLouk #BBUK📷📷"
"Oct 10, 2023 · 11:12 PM UTC",#isupportisrael,@Indstar4,0,#ISupportIsrael
"Oct 9, 2023 · 8:36 PM UTC",#isupportisrael,@anurag28960,0,On a serious note I don't care what UN says.  For me Israel 🇮🇱 is just defending its citizens and eliminating the enemy.   #ISupportIsrael #Istandwithisreal
"Oct 12, 2023 · 11:55 PM UTC",#hamas,@brain_3600,2,. @BBCNews refuses to call #Hamas ‘terrorists’. That must change! We implore #BBCNews to reevaluate an archaic internal news policy by accurately labelling Hamas ‘terrorists’ in light of the barbaric terror they have and continue to inflict ... https://chng.it/7PLtcfS5 via @Change
"Oct 17, 2023 · 7:45 PM UTC",#isupportpalestine,@YasinShaikh4,2,I support palestine and Pelastinian  #ISupportPalestine #Israelisrealterrorist #PalestineGenocide
"Oct 26, 2023 · 10:57 PM UTC",#israelpalestinewar,@PKurzin,1,"🚨 More Palestinians have been killed in West Bank than in the past 15 years, according to United Nations data. #IsraelPalestineWar"
"Oct 13, 2023 · 6:18 PM UTC",#isupportisrael,@mens_biz,0,#IsraelPalestineConflict #ISupportIsrael
"Oct 9, 2023 · 3:26 AM UTC",#stopisrael,@AiyyashIbnWazir,2,The army that comes from US shows the incompetence of the Israeli army and showcases their cowardice while Hamas fights alone. You have always failed yourselves. #FreePalestine #StopIsrael
"Oct 17, 2023 · 10:51 PM UTC",#standwithpalestine,@BoukazirKa76701,0,#FreePalestine #Gaza #StandWithPalestine
"Oct 20, 2023 · 10:24 PM UTC",#israelpalestinewar,@WealthRouteX,1,#Breaking news; #Paris has been so busy this week…..Paris bedbugs #Parisbedbugs….#IsraelPalestineWar #France #Macron #Hezbollah
"Oct 22, 2023 · 11:59 PM UTC",#israel,@Bawher,0,#israel es un estado terrorista 🤷🏻‍♂️
"Oct 11, 2023 · 10:48 PM UTC",#hamasterrorists,@Texlyn82,1,Too bad their parents voted for #HamasTerrorists as their leadership and jeopardized the safety of their children by having #Hamas cowards who use them and run to hide amongst them after killing hundreds of innocent people. Sucks. #HamasMassacre #Hezbollah #StandWithIsrael
"Oct 8, 2023 · 11:49 PM UTC",#israelpalestinewar,@MilitaryPOV,2,"🚨 Young men throw Molotov cocktails at Israeli vehicles after storming the town of Beit Umar, north of Hebron  #Israel #hamasattack #GazaUnderAttack #IsraelUnderAttack #Palestine #Gaza #Israel_under_attack #IsraelPalestineWar #Hamas #BREAKING"
"Oct 16, 2023 · 11:55 PM UTC",#israel,@yados91,0,#Israel #murderers #FreePalestine
"Oct 16, 2023 · 11:52 PM UTC",#israelpalestinewar,@Medyanin50Tonu,0,"Hamas'ın rehin aldığı İsrailli kadın Yasmin Porat:    “İsrail güçleri ayrım gözetmeksizin kendi sivillerini vurdu ve mahkumlara ateş açtı.    Hamas askerleri, bize kötü davranmadı. Bize çok insancıl davrandılar, bizi korudular.” #IsraelPalestineWar #GazaUnderAttack #Egypt #Lebanon #USA #Iran #Irak #Jordan #Suriya #Turkey #Netherlands #Russian #China #Deutschland #EuropeanUnion #Saudi_Arabia #Unite #Qatar #Italia #Eng           #Fra"
"Oct 21, 2023 · 9:19 PM UTC",#israelunderattack,@jobinindia,1,#Trudeau booed in #Canada for supporting #Israel in #PalestineIsraelwar. #Israel_under_attack #TrudeauBrokeCanada #IsraelAttack #Israelunderattack
"Oct 14, 2023 · 7:49 PM UTC",#isupportpalestine,@Hamnaasaghir,2,We support Palestinian brothers and sisters.  #ISupportPalestine #طوفان_الأقصى
"Oct 14, 2023 · 11:40 PM UTC",#standwithisrael,@ZyshanAM,0,"@vonderleyen are you still #StandWithIsrael ? Not in my name, you  are an unelected murderer apologist. 🤮💩🤬. What are you waiting calling for ceasefire and peace ☮️ ???  HYPOCRITE"
